State ID,State,Year,electoralvotes
1,Delaware,1976,3
1,Delaware,1980,3
1,Delaware,1984,3
1,Delaware,1988,3
1,Delaware,1992,3
1,Delaware,1996,3
1,Delaware,2000,3
1,Delaware,2004,3
1,Delaware,2008,3
1,Delaware,2012,3
1,Delaware,2016,3
2,Pennsylvania,1976,27
2,Pennsylvania,1980,27
2,Pennsylvania,1984,25
2,Pennsylvania,1988,25
2,Pennsylvania,1992,23
2,Pennsylvania,1996,23
2,Pennsylvania,2000,23
2,Pennsylvania,2004,21
2,Pennsylvania,2008,21
2,Pennsylvania,2012,20
2,Pennsylvania,2016,20
3,New Jersey,1976,17
3,New Jersey,1980,17
3,New Jersey,1984,16
3,New Jersey,1988,16
3,New Jersey,1992,15
3,New Jersey,1996,15
3,New Jersey,2000,15
3,New Jersey,2004,15
3,New Jersey,2008,15
3,New Jersey,2012,14
3,New Jersey,2016,14
4,Georgia,1976,12
4,Georgia,1980,12
4,Georgia,1984,12
4,Georgia,1988,12
4,Georgia,1992,13
4,Georgia,1996,13
4,Georgia,2000,13
4,Georgia,2004,15
4,Georgia,2008,15
4,Georgia,2012,16
4,Georgia,2016,16
5,Connecticut,1976,8
5,Connecticut,1980,8
5,Connecticut,1984,8
5,Connecticut,1988,8
5,Connecticut,1992,8
5,Connecticut,1996,8
5,Connecticut,2000,8
5,Connecticut,2004,7
5,Connecticut,2008,7
5,Connecticut,2012,7
5,Connecticut,2016,7
6,Massachusetts,1976,14
6,Massachusetts,1980,14
6,Massachusetts,1984,13
6,Massachusetts,1988,13
6,Massachusetts,1992,12
6,Massachusetts,1996,12
6,Massachusetts,2000,12
6,Massachusetts,2004,12
6,Massachusetts,2008,12
6,Massachusetts,2012,11
6,Massachusetts,2016,11
7,Maryland,1976,10
7,Maryland,1980,10
7,Maryland,1984,10
7,Maryland,1988,10
7,Maryland,1992,10
7,Maryland,1996,10
7,Maryland,2000,10
7,Maryland,2004,10
7,Maryland,2008,10
7,Maryland,2012,10
7,Maryland,2016,10
8,South Carolina,1976,8
8,South Carolina,1980,8
8,South Carolina,1984,8
8,South Carolina,1988,8
8,South Carolina,1992,8
8,South Carolina,1996,8
8,South Carolina,2000,8
8,South Carolina,2004,8
8,South Carolina,2008,8
8,South Carolina,2012,9
8,South Carolina,2016,9
9,New Hampshire,1976,4
9,New Hampshire,1980,4
9,New Hampshire,1984,4
9,New Hampshire,1988,4
9,New Hampshire,1992,4
9,New Hampshire,1996,4
9,New Hampshire,2000,4
9,New Hampshire,2004,4
9,New Hampshire,2008,4
9,New Hampshire,2012,4
9,New Hampshire,2016,4
10,Virginia,1976,12
10,Virginia,1980,12
10,Virginia,1984,12
10,Virginia,1988,12
10,Virginia,1992,13
10,Virginia,1996,13
10,Virginia,2000,13
10,Virginia,2004,13
10,Virginia,2008,13
10,Virginia,2012,13
10,Virginia,2016,13
11,New York,1976,41
11,New York,1980,41
11,New York,1984,36
11,New York,1988,36
11,New York,1992,33
11,New York,1996,33
11,New York,2000,33
11,New York,2004,31
11,New York,2008,31
11,New York,2012,29
11,New York,2016,29
12,North Carolina,1976,13
12,North Carolina,1980,13
12,North Carolina,1984,13
12,North Carolina,1988,13
12,North Carolina,1992,14
12,North Carolina,1996,14
12,North Carolina,2000,14
12,North Carolina,2004,15
12,North Carolina,2008,15
12,North Carolina,2012,15
12,North Carolina,2016,15
13,Rhode Island,1976,4
13,Rhode Island,1980,4
13,Rhode Island,1984,4
13,Rhode Island,1988,4
13,Rhode Island,1992,4
13,Rhode Island,1996,4
13,Rhode Island,2000,4
13,Rhode Island,2004,4
13,Rhode Island,2008,4
13,Rhode Island,2012,4
13,Rhode Island,2016,4
14,Vermont,1976,3
14,Vermont,1980,3
14,Vermont,1984,3
14,Vermont,1988,3
14,Vermont,1992,3
14,Vermont,1996,3
14,Vermont,2000,3
14,Vermont,2004,3
14,Vermont,2008,3
14,Vermont,2012,3
14,Vermont,2016,3
15,Kentucky,1976,9
15,Kentucky,1980,9
15,Kentucky,1984,9
15,Kentucky,1988,9
15,Kentucky,1992,8
15,Kentucky,1996,8
15,Kentucky,2000,8
15,Kentucky,2004,8
15,Kentucky,2008,8
15,Kentucky,2012,8
15,Kentucky,2016,8
16,Tennessee,1976,10
16,Tennessee,1980,10
16,Tennessee,1984,11
16,Tennessee,1988,11
16,Tennessee,1992,11
16,Tennessee,1996,11
16,Tennessee,2000,11
16,Tennessee,2004,11
16,Tennessee,2008,11
16,Tennessee,2012,11
16,Tennessee,2016,11
17,Ohio,1976,25
17,Ohio,1980,25
17,Ohio,1984,23
17,Ohio,1988,23
17,Ohio,1992,21
17,Ohio,1996,21
17,Ohio,2000,21
17,Ohio,2004,20
17,Ohio,2008,20
17,Ohio,2012,18
17,Ohio,2016,18
18,Louisiana,1976,10
18,Louisiana,1980,10
18,Louisiana,1984,10
18,Louisiana,1988,10
18,Louisiana,1992,9
18,Louisiana,1996,9
18,Louisiana,2000,9
18,Louisiana,2004,9
18,Louisiana,2008,9
18,Louisiana,2012,8
18,Louisiana,2016,8
19,Indiana,1976,13
19,Indiana,1980,13
19,Indiana,1984,12
19,Indiana,1988,12
19,Indiana,1992,12
19,Indiana,1996,12
19,Indiana,2000,12
19,Indiana,2004,11
19,Indiana,2008,11
19,Indiana,2012,11
19,Indiana,2016,11
20,Mississippi,1976,7
20,Mississippi,1980,7
20,Mississippi,1984,7
20,Mississippi,1988,7
20,Mississippi,1992,7
20,Mississippi,1996,7
20,Mississippi,2000,7
20,Mississippi,2004,6
20,Mississippi,2008,6
20,Mississippi,2012,6
20,Mississippi,2016,6
21,Illinois,1976,26
21,Illinois,1980,26
21,Illinois,1984,24
21,Illinois,1988,24
21,Illinois,1992,22
21,Illinois,1996,22
21,Illinois,2000,22
21,Illinois,2004,21
21,Illinois,2008,21
21,Illinois,2012,20
21,Illinois,2016,20
22,Alabama,1976,9
22,Alabama,1980,9
22,Alabama,1984,9
22,Alabama,1988,9
22,Alabama,1992,9
22,Alabama,1996,9
22,Alabama,2000,9
22,Alabama,2004,9
22,Alabama,2008,9
22,Alabama,2012,9
22,Alabama,2016,9
23,Maine,1976,4
23,Maine,1980,4
23,Maine,1984,4
23,Maine,1988,4
23,Maine,1992,4
23,Maine,1996,4
23,Maine,2000,4
23,Maine,2004,4
23,Maine,2008,4
23,Maine,2012,4
23,Maine,2016,4
24,Missouri,1976,12
24,Missouri,1980,12
24,Missouri,1984,11
24,Missouri,1988,11
24,Missouri,1992,11
24,Missouri,1996,11
24,Missouri,2000,11
24,Missouri,2004,11
24,Missouri,2008,11
24,Missouri,2012,10
24,Missouri,2016,10
25,Arkansas,1976,6
25,Arkansas,1980,6
25,Arkansas,1984,6
25,Arkansas,1988,6
25,Arkansas,1992,6
25,Arkansas,1996,6
25,Arkansas,2000,6
25,Arkansas,2004,6
25,Arkansas,2008,6
25,Arkansas,2012,6
25,Arkansas,2016,6
26,Michigan,1976,21
26,Michigan,1980,21
26,Michigan,1984,20
26,Michigan,1988,20
26,Michigan,1992,18
26,Michigan,1996,18
26,Michigan,2000,18
26,Michigan,2004,17
26,Michigan,2008,17
26,Michigan,2012,16
26,Michigan,2016,16
27,Florida,1976,17
27,Florida,1980,17
27,Florida,1984,21
27,Florida,1988,21
27,Florida,1992,25
27,Florida,1996,25
27,Florida,2000,25
27,Florida,2004,27
27,Florida,2008,27
27,Florida,2012,29
27,Florida,2016,29
28,Texas,1976,26
28,Texas,1980,26
28,Texas,1984,29
28,Texas,1988,29
28,Texas,1992,32
28,Texas,1996,32
28,Texas,2000,32
28,Texas,2004,34
28,Texas,2008,34
28,Texas,2012,38
28,Texas,2016,38
29,Iowa,1976,8
29,Iowa,1980,8
29,Iowa,1984,8
29,Iowa,1988,8
29,Iowa,1992,7
29,Iowa,1996,7
29,Iowa,2000,7
29,Iowa,2004,7
29,Iowa,2008,7
29,Iowa,2012,6
29,Iowa,2016,6
30,Wisconsin,1976,11
30,Wisconsin,1980,11
30,Wisconsin,1984,11
30,Wisconsin,1988,11
30,Wisconsin,1992,11
30,Wisconsin,1996,11
30,Wisconsin,2000,11
30,Wisconsin,2004,10
30,Wisconsin,2008,10
30,Wisconsin,2012,10
30,Wisconsin,2016,10
31,California,1976,45
31,California,1980,45
31,California,1984,47
31,California,1988,47
31,California,1992,54
31,California,1996,54
31,California,2000,54
31,California,2004,55
31,California,2008,55
31,California,2012,55
31,California,2016,55
32,Minnesota,1976,10
32,Minnesota,1980,10
32,Minnesota,1984,10
32,Minnesota,1988,10
32,Minnesota,1992,10
32,Minnesota,1996,10
32,Minnesota,2000,10
32,Minnesota,2004,10
32,Minnesota,2008,10
32,Minnesota,2012,10
32,Minnesota,2016,10
33,Oregon,1976,6
33,Oregon,1980,6
33,Oregon,1984,7
33,Oregon,1988,7
33,Oregon,1992,7
33,Oregon,1996,7
33,Oregon,2000,7
33,Oregon,2004,7
33,Oregon,2008,7
33,Oregon,2012,7
33,Oregon,2016,7
34,Kansas,1976,7
34,Kansas,1980,7
34,Kansas,1984,7
34,Kansas,1988,7
34,Kansas,1992,6
34,Kansas,1996,6
34,Kansas,2000,6
34,Kansas,2004,6
34,Kansas,2008,6
34,Kansas,2012,6
34,Kansas,2016,6
35,West Virginia,1976,6
35,West Virginia,1980,6
35,West Virginia,1984,6
35,West Virginia,1988,6
35,West Virginia,1992,5
35,West Virginia,1996,5
35,West Virginia,2000,5
35,West Virginia,2004,5
35,West Virginia,2008,5
35,West Virginia,2012,5
35,West Virginia,2016,5
36,Nevada,1976,3
36,Nevada,1980,3
36,Nevada,1984,4
36,Nevada,1988,4
36,Nevada,1992,4
36,Nevada,1996,4
36,Nevada,2000,4
36,Nevada,2004,5
36,Nevada,2008,5
36,Nevada,2012,6
36,Nevada,2016,6
37,Nebraska,1976,5
37,Nebraska,1980,5
37,Nebraska,1984,5
37,Nebraska,1988,5
37,Nebraska,1992,5
37,Nebraska,1996,5
37,Nebraska,2000,5
37,Nebraska,2004,5
37,Nebraska,2008,5
37,Nebraska,2012,5
37,Nebraska,2016,5
38,Colorado,1976,7
38,Colorado,1980,7
38,Colorado,1984,8
38,Colorado,1988,8
38,Colorado,1992,8
38,Colorado,1996,8
38,Colorado,2000,8
38,Colorado,2004,9
38,Colorado,2008,9
38,Colorado,2012,9
38,Colorado,2016,9
39,North Dakota,1976,3
39,North Dakota,1980,3
39,North Dakota,1984,3
39,North Dakota,1988,3
39,North Dakota,1992,3
39,North Dakota,1996,3
39,North Dakota,2000,3
39,North Dakota,2004,3
39,North Dakota,2008,3
39,North Dakota,2012,3
39,North Dakota,2016,3
40,South Dakota,1976,4
40,South Dakota,1980,4
40,South Dakota,1984,3
40,South Dakota,1988,3
40,South Dakota,1992,3
40,South Dakota,1996,3
40,South Dakota,2000,3
40,South Dakota,2004,3
40,South Dakota,2008,3
40,South Dakota,2012,3
40,South Dakota,2016,3
41,Montana,1976,4
41,Montana,1980,4
41,Montana,1984,4
41,Montana,1988,4
41,Montana,1992,3
41,Montana,1996,3
41,Montana,2000,3
41,Montana,2004,3
41,Montana,2008,3
41,Montana,2012,3
41,Montana,2016,3
42,Washington,1976,9
42,Washington,1980,9
42,Washington,1984,10
42,Washington,1988,10
42,Washington,1992,11
42,Washington,1996,11
42,Washington,2000,11
42,Washington,2004,11
42,Washington,2008,11
42,Washington,2012,12
42,Washington,2016,12
43,Idaho,1976,4
43,Idaho,1980,4
43,Idaho,1984,4
43,Idaho,1988,4
43,Idaho,1992,4
43,Idaho,1996,4
43,Idaho,2000,4
43,Idaho,2004,4
43,Idaho,2008,4
43,Idaho,2012,4
43,Idaho,2016,4
44,Wyoming,1976,3
44,Wyoming,1980,3
44,Wyoming,1984,3
44,Wyoming,1988,3
44,Wyoming,1992,3
44,Wyoming,1996,3
44,Wyoming,2000,3
44,Wyoming,2004,3
44,Wyoming,2008,3
44,Wyoming,2012,3
44,Wyoming,2016,3
45,Utah,1976,4
45,Utah,1980,4
45,Utah,1984,5
45,Utah,1988,5
45,Utah,1992,5
45,Utah,1996,5
45,Utah,2000,5
45,Utah,2004,5
45,Utah,2008,5
45,Utah,2012,6
45,Utah,2016,6
46,Oklahoma,1976,8
46,Oklahoma,1980,8
46,Oklahoma,1984,8
46,Oklahoma,1988,8
46,Oklahoma,1992,8
46,Oklahoma,1996,8
46,Oklahoma,2000,8
46,Oklahoma,2004,7
46,Oklahoma,2008,7
46,Oklahoma,2012,7
46,Oklahoma,2016,7
47,New Mexico,1976,4
47,New Mexico,1980,4
47,New Mexico,1984,5
47,New Mexico,1988,5
47,New Mexico,1992,5
47,New Mexico,1996,5
47,New Mexico,2000,5
47,New Mexico,2004,5
47,New Mexico,2008,5
47,New Mexico,2012,5
47,New Mexico,2016,5
48,Arizona,1976,6
48,Arizona,1980,6
48,Arizona,1984,7
48,Arizona,1988,7
48,Arizona,1992,8
48,Arizona,1996,8
48,Arizona,2000,8
48,Arizona,2004,10
48,Arizona,2008,10
48,Arizona,2012,11
48,Arizona,2016,11
49,Alaska,1976,3
49,Alaska,1980,3
49,Alaska,1984,3
49,Alaska,1988,3
49,Alaska,1992,3
49,Alaska,1996,3
49,Alaska,2000,3
49,Alaska,2004,3
49,Alaska,2008,3
49,Alaska,2012,3
49,Alaska,2016,3
50,Hawaii,1976,4
50,Hawaii,1980,4
50,Hawaii,1984,4
50,Hawaii,1988,4
50,Hawaii,1992,4
50,Hawaii,1996,4
50,Hawaii,2000,4
50,Hawaii,2004,4
50,Hawaii,2008,4
50,Hawaii,2012,4
50,Hawaii,2016,4
